STARTING 2019-03-12 08:02:39.139397STARTING 2019-03-12 08:06:34.9030092019-03-12 08:06:34.903910,1,26,)
2019-03-12 08:06:35.301023,1,0,
2019-03-12 08:07:11.115020,10,8,f
2019-03-12 08:07:11.294115,10,9,n
2019-03-12 08:07:12.646246,12,44,f
2019-03-12 08:07:12.822067,12,45,n
2019-03-12 08:07:13.760996,1,1,f
2019-03-12 08:07:13.763608,1,1,f
2019-03-12 08:07:13.765078,1,1,f
2019-03-12 08:07:13.766466,1,1,f
2019-03-12 08:07:14.001738,1,2,l
2019-03-12 08:07:14.003981,1,2,l
2019-03-12 08:07:14.005096,1,2,l
2019-03-12 08:07:14.005997,1,2,l
2019-03-12 08:07:14.319022,1,1,f
2019-03-12 08:07:14.322346,1,1,f
2019-03-12 08:07:14.323515,1,1,f
2019-03-12 08:07:14.324962,1,1,f
2019-03-12 08:07:14.521653,1,2,i
2019-03-12 08:07:14.525152,1,2,i
2019-03-12 08:07:14.527136,1,2,i
2019-03-12 08:07:14.528518,1,2,i
2019-03-12 08:07:14.692691,1,3,l
2019-03-12 08:07:14.695016,1,3,l
2019-03-12 08:07:14.696212,1,3,l
2019-03-12 08:07:14.697229,1,3,l
2019-03-12 08:07:14.792229,1,4,e
2019-03-12 08:07:14.794858,1,4,e
2019-03-12 08:07:14.795956,1,4,e
2019-03-12 08:07:14.797020,1,4,e
2019-03-12 08:07:14.936904,1,5,n
2019-03-12 08:07:14.940537,1,5,n
2019-03-12 08:07:14.942342,1,5,n
2019-03-12 08:07:14.943475,1,5,n
2019-03-12 08:07:15.052139,1,6,a
2019-03-12 08:07:15.054789,1,6,a
2019-03-12 08:07:15.055900,1,6,a
2019-03-12 08:07:15.057114,1,6,a
2019-03-12 08:07:15.136187,1,7,m
2019-03-12 08:07:15.138689,1,7,m
2019-03-12 08:07:15.139818,1,7,m
2019-03-12 08:07:15.140940,1,7,m
2019-03-12 08:07:15.254346,1,8,e
2019-03-12 08:07:15.256549,1,8,e
2019-03-12 08:07:15.257697,1,8,e
2019-03-12 08:07:15.258625,1,8,e
