STARTING 2019-03-12 08:07:52.3407042019-03-12 08:07:52.341727,1,26,)
2019-03-12 08:07:52.624087,1,0,
2019-03-12 08:07:55.086337,44,1,d
2019-03-12 08:07:55.175923,45,0,

2019-03-12 08:07:55.597419,45,1,d
2019-03-12 08:07:55.739957,45,1,d
2019-03-12 08:07:55.906606,45,2,f
2019-03-12 08:07:56.033739,45,3,f
2019-03-12 08:08:21.238472,46,0,

2019-03-12 08:08:21.761916,46,1,d
2019-03-12 08:08:25.543076,46,2,4
2019-03-12 08:08:27.735791,47,0,

2019-03-12 08:08:29.760954,47,1,1
2019-03-12 08:08:30.093684,48,0,

2019-03-12 08:08:32.608250,47,1,1
2019-03-12 08:08:33.007102,47,0,

2019-03-12 08:08:44.064358,43,0,

STARTING 2019-03-12 18:50:17.5856332019-03-12 18:50:18.453616,46,2,	
